observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
Ca		model1_data1	3.7362207129948968	3.953448856	offset;scale	sigma
Ca		model1_data1	3.855089440795985	4.072056646	offset;scale	sigma
Ca		model1_data1	3.105822735749521	4.150682957	offset;scale	sigma
Ca		model1_data1	3.880981189506455	4.2209355660000005	offset;scale	sigma
Ca		model1_data1	2.8674521387860774	4.301213029	offset;scale	sigma
Ca		model1_data1	3.8352540707759335	4.370168304	offset;scale	sigma
Ca		model1_data1	2.764171742763479	4.421118154	offset;scale	sigma
Ca		model1_data1	3.3492704293113094	4.521759832	offset;scale	sigma
Ca		model1_data1	2.369675314186811	4.587963185	offset;scale	sigma
Ca		model1_data1	3.5867867664504063	4.669459357	offset;scale	sigma
Ca		model1_data1	3.960515167547253	4.727171069	offset;scale	sigma
Ca		model1_data1	4.798109957620689	4.783113689	offset;scale	sigma
Ca		model1_data1	3.841539931081696	4.846958254	offset;scale	sigma
Ca		model1_data1	4.190118175593982	4.934705217	offset;scale	sigma
Ca		model1_data1	3.375045077551688	4.953732784	offset;scale	sigma
Ca		model1_data1	4.089030209376481	5.02457509	offset;scale	sigma
Ca		model1_data1	3.1152145531150355	5.029764427	offset;scale	sigma
Ca		model1_data1	3.5045560861857923	5.116921693	offset;scale	sigma
Ca		model1_data1	2.687041570232608	5.181591833	offset;scale	sigma
Ca		model1_data1	1.809677058820885	5.293437761	offset;scale	sigma
Ca		model1_data1	2.152113235589941	5.349734198999999	offset;scale	sigma
Ca		model1_data1	2.087142559660524	5.424822326	offset;scale	sigma
Ca		model1_data1	2.262498021695178	5.512687229	offset;scale	sigma
Ca		model1_data1	2.075553787310677	5.603736497000001	offset;scale	sigma
Ca		model1_data1	2.277926669101369	5.691365521	offset;scale	sigma
Ca		model1_data1	2.05109886062686	5.752969235	offset;scale	sigma
Ca		model1_data1	2.195879906223296	5.811270645	offset;scale	sigma
Ca		model1_data1	1.9409894966832435	5.8881278639999985	offset;scale	sigma
Ca		model1_data1	2.395500032175225	5.943716666	offset;scale	sigma
Ca		model1_data1	2.0788491630225616	6.065626761	offset;scale	sigma
Ca		model1_data1	5.556189319427928	6.091573444	offset;scale	sigma
Ca		model1_data1	8.104141505720515	6.188676938	offset;scale	sigma
Ca		model1_data1	7.074691626692351	6.235970664	offset;scale	sigma
Ca		model1_data1	4.883975929172942	6.347344832999999	offset;scale	sigma
Ca		model1_data1	4.238167207523639	6.454355242	offset;scale	sigma
Ca		model1_data1	3.3305373911900857	6.488754253	offset;scale	sigma
Ca		model1_data1	4.010238739778214	6.559714499	offset;scale	sigma
Ca		model1_data1	2.7509628588467185	6.62650755	offset;scale	sigma
Ca		model1_data1	3.6792598715073996	6.680563139	offset;scale	sigma
Ca		model1_data1	3.1142900305772883	6.743346248	offset;scale	sigma
Ca		model1_data1	3.7727267079008495	6.784389182999999	offset;scale	sigma
Ca		model1_data1	4.570840733500411	6.855231489	offset;scale	sigma
Ca		model1_data1	3.1940583109966516	6.906771036	offset;scale	sigma
Ca		model1_data1	4.687436764349363	6.988856904	offset;scale	sigma
Ca		model1_data1	3.707194525645928	7.08273672	offset;scale	sigma
Ca		model1_data1	4.575053171703531	7.123425836	offset;scale	sigma
Ca		model1_data1	4.094306952651063	7.200047176	offset;scale	sigma
Ca		model1_data1	4.577160842816388	7.257523009	offset;scale	sigma
Ca		model1_data1	2.987895373706912	7.280560518	offset;scale	sigma
Ca		model1_data1	4.303648693123686	7.318301148	offset;scale	sigma
Ca		model1_data1	3.278888743978209	7.33839017	offset;scale	sigma
Ca		model1_data1	3.851815856478928	7.424721859	offset;scale	sigma
Ca		model1_data1	3.341463627851712	7.442334152999999	offset;scale	sigma
Ca		model1_data1	3.5335504884458917	7.515771128	offset;scale	sigma
Ca		model1_data1	2.7941812790772147	7.564951885	offset;scale	sigma
Ca		model1_data1	4.255336343023818	7.631430431	offset;scale	sigma
Ca		model1_data1	3.3448854224982822	7.740327872000001	offset;scale	sigma
Ca		model1_data1	4.257296732910549	7.765527604	offset;scale	sigma
Ca		model1_data1	3.4087197852289126	7.844271855	offset;scale	sigma
Ca		model1_data1	3.7182145602154435	7.946918504	offset;scale	sigma
Ca		model1_data1	2.7808005276014898	7.967361345	offset;scale	sigma
Ca		model1_data1	4.561306881072917	8.047324303	offset;scale	sigma
Ca		model1_data1	3.267197210203366	8.098392092000001	offset;scale	sigma
Ca		model1_data1	3.675533628192016	8.185549358	offset;scale	sigma
Ca		model1_data1	2.3408443297683657	8.223958311	offset;scale	sigma
Ca		model1_data1	1.9692847761996364	8.301759045	offset;scale	sigma
Ca		model1_data1	1.8517980114568329	8.392336556	offset;scale	sigma
Ca		model1_data1	2.083236925100103	8.479493821	offset;scale	sigma
Ca		model1_data1	1.9833228105104808	8.569835453	offset;scale	sigma
Ca		model1_data1	2.1365961873663064	8.642918609	offset;scale	sigma
Ca		model1_data1	2.1248415637647544	8.836732465	offset;scale	sigma
Ca		model1_data1	2.346961837383644	8.983842293	offset;scale	sigma
